"riding_id","election_id","order","cre_id","party_name","candidate_name","re_id","votes","votes_percent","delta_percent","expenditures","elected"
"Barrie-Innisfil","F2015",3,"F2015:Barrie-Innisfil:Bonnie North:Green","Green","Bonnie North","F2015:Barrie-Innisfil",1991,4.04,NA,"11907.65",FALSE
"Barrie-Innisfil","F2015",1,"F2015:Barrie-Innisfil:Colin Wilson:Liberal","Liberal","Colin Wilson","F2015:Barrie-Innisfil",18308,37.11,NA,"45769.43",FALSE
"Barrie-Innisfil","F2015",0,"F2015:Barrie-Innisfil:John Brassard:Conservative","Conservative","John Brassard","F2015:Barrie-Innisfil",22901,46.41,NA,"152037.98",TRUE
"Barrie-Innisfil","F2015",2,"F2015:Barrie-Innisfil:Myrna Clark:New Democratic","New Democratic","Myrna Clark","F2015:Barrie-Innisfil",5812,11.78,NA,"20283.99",FALSE
"Barrie-Springwater-Oro-Medonte","F2015",0,"F2015:Barrie-Springwater-Oro-Medonte:Alex Nuttall:Conservative","Conservative","Alex Nuttall","F2015:Barrie-Springwater-Oro-Medonte",21091,41.74,NA,"151648.41",TRUE
"Barrie-Springwater-Oro-Medonte","F2015",1,"F2015:Barrie-Springwater-Oro-Medonte:Brian Tamblyn:Liberal","Liberal","Brian Tamblyn","F2015:Barrie-Springwater-Oro-Medonte",21005,41.57,NA,"101563.29",FALSE
"Barrie-Springwater-Oro-Medonte","F2015",2,"F2015:Barrie-Springwater-Oro-Medonte:Ellen White:New Democratic","New Democratic","Ellen White","F2015:Barrie-Springwater-Oro-Medonte",5202,10.29,NA,NA,FALSE
"Barrie-Springwater-Oro-Medonte","F2015",3,"F2015:Barrie-Springwater-Oro-Medonte:Marty Lancaster:Green","Green","Marty Lancaster","F2015:Barrie-Springwater-Oro-Medonte",2648,5.24,NA,"30596.2",FALSE
"Battle River-Crowfoot","F2015",1,"F2015:Battle River-Crowfoot:Andy Kowalski:Liberal","Liberal","Andy Kowalski","F2015:Battle River-Crowfoot",5505,9.37,NA,"1133.54",FALSE
"Battle River-Crowfoot","F2015",3,"F2015:Battle River-Crowfoot:Gary Kelly:Green","Green","Gary Kelly","F2015:Battle River-Crowfoot",1868,3.18,NA,"419.14",FALSE
"Battle River-Crowfoot","F2015",2,"F2015:Battle River-Crowfoot:Katherine Swampy:New Democratic","New Democratic","Katherine Swampy","F2015:Battle River-Crowfoot",3844,6.54,NA,"9738.25",FALSE
"Battle River-Crowfoot","F2015",0,"F2015:Battle River-Crowfoot:Kevin Sorenson:Conservative","Conservative","Kevin Sorenson","F2015:Battle River-Crowfoot",47552,80.91,NA,"39101.55",TRUE
"Battlefords-Lloydminster","F2015",0,"F2015:Battlefords-Lloydminster:Gerry Ritz:Conservative","Conservative","Gerry Ritz","F2015:Battlefords-Lloydminster",20547,61,NA,"70973.3",TRUE
"Battlefords-Lloydminster","F2015",1,"F2015:Battlefords-Lloydminster:Glenn Tait:New Democratic","New Democratic","Glenn Tait","F2015:Battlefords-Lloydminster",5930,17.6,NA,"6284.73",FALSE
"Battlefords-Lloydminster","F2015",2,"F2015:Battlefords-Lloydminster:Larry Ingram:Liberal","Liberal","Larry Ingram","F2015:Battlefords-Lloydminster",5550,16.5,NA,"17912.01",FALSE
"Battlefords-Lloydminster","F2015",4,"F2015:Battlefords-Lloydminster:Mikaela Tenkink:Green","Green","Mikaela Tenkink","F2015:Battlefords-Lloydminster",575,1.7,NA,"56.97",FALSE
